label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_v3,rho_test_v3
biomarker_only__death__h6__xgb_binary,biomarker_only,death,6.0,xgb_binary,exclude,0,127,491,20,0.9196390658174098,0.8779826234371689,0.033142357855637204,0.8076311605723371,15.856910705566406,0.6013283522143393,0.6909957781258672
v3_hepatic_schema__death__h6__lgbm_binary,v3_hepatic_schema,death,6.0,lgbm_binary,exclude,0,215,491,20,0.9415074309978769,0.8892138164865437,0.03174973899312375,0.8187311178247734,1.0391452312469482,0.7002989589540917,0.7675356337189294
v3_hepatic_schema__death__h6__catboost_binary,v3_hepatic_schema,death,6.0,catboost_binary,exclude,0,215,491,20,0.9387473460721869,0.9001059546514092,0.02576062430186508,0.8305084745762712,8.012514591217041,0.6935264870420395,0.7597411423108216
v3_hepatic_schema__death__h6__xgb_binary,v3_hepatic_schema,death,6.0,xgb_binary,exclude,0,215,491,20,0.9554140127388535,0.8952744225471498,0.02851376210166315,0.8362480127186009,6.002187252044678,0.6821970442305099,0.7448160028583303
v3_hepatic_schema__hepatic__h3__lgbm_binary__s1,v3_hepatic_schema,hepatic,3.0,lgbm_binary,exclude,1,215,851,21,0.7837062535857716,0.7535958734252555,0.1296720717509039,0.5121412803532008,1.7781281471252441,0.4230983943610071,0.5277636140976394
v3_hepatic_schema__hepatic__h3__lgbm_binary__s2,v3_hepatic_schema,hepatic,3.0,lgbm_binary,exclude,2,215,851,21,0.7905335628227195,0.7575967992593328,0.12813373281630852,0.5231788079470199,1.7782695293426514,0.43251379412841956,0.5265340692527856
v3_hepatic_schema__hepatic__h3__lgbm_binary__s3,v3_hepatic_schema,hepatic,3.0,lgbm_binary,exclude,3,215,851,21,0.7884107860011474,0.7530998908838409,0.13439275339551282,0.49080206033848417,1.7539799213409424,0.4242665189780269,0.5326938431750827
v3_hepatic_schema__hepatic__h3__lgbm_binary__s4,v3_hepatic_schema,hepatic,3.0,lgbm_binary,exclude,4,215,851,21,0.8021227768215718,0.7740964851370565,0.12602214074625012,0.5397350993377483,1.7543818950653076,0.4310778269292691,0.5374937452554315
current_state_v2__death__h5__catboost_binary__s1,current_state_v2,death,5.0,catboost_binary,exclude,1,222,595,16,0.9798143350604491,0.8933248569612205,0.053533897895912515,0.7615819209039548,8.17501974105835,0.7789534974869506,0.8948335839261611
current_state_v2__death__h5__catboost_binary__s2,current_state_v2,death,5.0,catboost_binary,exclude,2,222,595,16,0.9790587219343696,0.9018012290739563,0.04254198878268683,0.8101694915254237,8.26760458946228,0.7650825235611675,0.8875250442519476
current_state_v2__death__h5__catboost_binary__s3,current_state_v2,death,5.0,catboost_binary,exclude,3,222,595,16,0.9828367875647668,0.9095147276965458,0.04837519813814611,0.7830508474576271,8.228402376174927,0.784170513361483,0.8999638231527481
current_state_v2__death__h5__catboost_binary__s4,current_state_v2,death,5.0,catboost_binary,exclude,4,222,595,16,0.9790587219343696,0.8963763509218055,0.04935419128664577,0.7694915254237288,8.25354814529419,0.7665212908065371,0.8938245800649851
v3_hepatic_schema__hepatic__h2__lgbm_binary__dw,v3_hepatic_schema,hepatic,2.0,lgbm_binary,downweight,0,215,1253,15,0.6645126548196014,0.6599378368548093,0.1250632794800421,0.47290836653386453,1.928727626800537,0.26541427547063445,0.3135155437933591
v3_hepatic_schema__hepatic__h3__lgbm_binary__dw,v3_hepatic_schema,hepatic,3.0,lgbm_binary,downweight,0,215,1253,21,0.7178803339517625,0.7128426412723605,0.1318321940656531,0.46431199411331864,2.1884613037109375,0.36867887702781743,0.375791237079077
v3_hepatic_schema__hepatic__h4__lgbm_binary__dw,v3_hepatic_schema,hepatic,4.0,lgbm_binary,downweight,0,215,1253,24,0.6984336859235151,0.7054855669080449,0.1622577311060223,0.3833701250919794,2.3589863777160645,0.42519567572730016,0.4810865720067757
v3_hepatic_schema__hepatic__h5__lgbm_binary__dw,v3_hepatic_schema,hepatic,5.0,lgbm_binary,downweight,0,215,1253,25,0.7244625407166124,0.7227953576034124,0.141745300720852,0.47167034584253126,2.404696226119995,0.43088700880461955,0.4513542592194459
v3_hepatic_schema__hepatic__h6__lgbm_binary__dw,v3_hepatic_schema,hepatic,6.0,lgbm_binary,downweight,0,215,1253,30,0.7795584627964024,0.7457758820222862,0.14094337525784723,0.49595290654893304,2.5642411708831787,0.4752718760981949,0.5165672249482022
current_state_v2__death__h4__catboost_binary__dw,current_state_v2,death,4.0,catboost_binary,downweight,0,222,1253,10,0.8968624296057924,0.8261919898283535,0.060058945439989554,0.7050847457627119,8.32229495048523,0.5741359833507304,0.6883488077515224
current_state_v2__death__h5__catboost_binary__dw,current_state_v2,death,5.0,catboost_binary,downweight,0,222,1253,16,0.9379547291835084,0.9152362788726425,0.03939459725883042,0.8271186440677966,8.369251251220703,0.7537329555329837,0.852119536357669
current_state_v2__death__h6__catboost_binary__dw,current_state_v2,death,6.0,catboost_binary,downweight,0,222,1253,20,0.9013787510137875,0.8968001695274422,0.04646992542455224,0.7887005649717514,8.35514760017395,0.6312770783675282,0.7524509942846119
