endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,experiment,death_target_mode,dir,cindex_max,cindex_mean_minus_halfsd,score_for_hepatic_priority
death,lgbm_binary,NIT_plus_scores_longitudinal,moderate,15,0.7512259533354754,0.0624114498884305,0.6553980370774264,phase2_NIT_plus_scores_longitudinal,censor_missing_death_at_last_visit,20260426_1755_phase2_NIT_plus_scores_longitudinal,0.8849206349206349,0.7200202283912601,0.7200202283912601
death,xgb_binary,aggressive_longitudinal,moderate-high,15,0.7538646394351244,0.0688214199397837,0.6276595744680851,phase2_aggressive_longitudinal,censor_missing_death_at_last_visit,20260426_1758_phase2_aggressive_longitudinal,0.8897280966767371,0.7194539294652325,0.7194539294652326
death,xgb_cox,first_1y,low,15,0.751149638786506,0.0673311872495937,0.632183908045977,phase2_first_1y,censor_missing_death_at_last_visit,20260426_1807_phase2_first_1y,0.8767720828789531,0.7174840451617092,0.7174840451617092
death,catboost_binary,aggressive_longitudinal,moderate-high,15,0.7460588989801273,0.064154252690743,0.6103151862464183,phase2_aggressive_longitudinal,censor_missing_death_at_last_visit,20260426_1758_phase2_aggressive_longitudinal,0.859714928732183,0.7139817726347558,0.7139817726347558
death,catboost_binary,NIT_plus_clinical_scores,low/moderate,15,0.7426564205566026,0.0703594274835571,0.6052344601962922,005_NIT_plus_clinical_scores,censor_missing_death_at_last_visit,20260426_1635_005_NIT_plus_clinical_scores,,,0.7074767068148241
death,catboost_binary,longitudinal_no_followup_proxies,moderate,15,0.7251258973678484,0.0696182971852974,0.6031518624641834,phase2_longitudinal_no_followup_proxies,censor_missing_death_at_last_visit,20260426_1826_phase2_longitudinal_no_followup_proxies,0.8731117824773413,0.6903167487751997,0.6903167487751997
death,lgbm_binary,early_v1_v3,low/moderate,25,0.7317145277571566,0.0849407687904098,0.5723793677204659,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,0.6892441433619517
death,lgbm_binary,NIT_longitudinal_only,moderate,15,0.7242474144769285,0.0741263982053553,0.6002865329512894,phase2_NIT_longitudinal_only,censor_missing_death_at_last_visit,20260426_1751_phase2_NIT_longitudinal_only,0.8650793650793651,0.6871842153742509,0.6871842153742509
death,xgb_binary,NIT_plus_scores_longitudinal,moderate,15,0.720122843981596,0.0674511214067815,0.6117478510028653,phase2_NIT_plus_scores_longitudinal,censor_missing_death_at_last_visit,20260426_1755_phase2_NIT_plus_scores_longitudinal,0.8624338624338624,0.6863972832782053,0.6863972832782053
death,xgb_binary,first_2y,low,15,0.7119533764254043,0.0617959064251416,0.5940257976917854,phase2_first_2y,censor_missing_death_at_last_visit,20260426_1810_phase2_first_2y,0.8383685800604229,0.6810554232128335,0.6810554232128335
death,xgb_binary,first_3y,low,15,0.7225276611939064,0.0879695154647389,0.5661375661375662,phase2_first_3y,censor_missing_death_at_last_visit,20260426_1819_phase2_first_3y,0.8867069486404834,0.678542903461537,0.678542903461537
